user_id,date,wake_time,week,day,message_type,message_note,start_prompt,start_prompt_epoch
user01,2023-02-01,07:45,6,3,goal_settings,STANDARD_GOAL,09:43,1675262605188
user01,2023-02-01,07:45,6,3,first_jitai,NO_MESSAGE,11:02,1675267345188
user01,2023-02-01,07:45,6,3,second_jitai,ACHIEVED_MESSAGE,15:03,1675281805188
user01,2023-02-01,07:45,6,3,eod_message,,20:45,1675302325188
user02,2023-02-01,09:00,2,2,goal_settings,NO_GOAL,10:09,1675264192291
user02,2023-02-01,09:00,2,2,first_jitai,NO_MESSAGE,12:22,1675272172291
user02,2023-02-01,09:00,2,2,second_jitai,NO_MESSAGE,16:39,1675287592291
user02,2023-02-01,09:00,2,2,eod_message,,20:00,1675299652291
user03,2023-02-01,08:00,0,3,goal_settings,TAILORED_GOAL,09:16,1675260980849
user03,2023-02-01,08:00,0,3,first_jitai,NO_MESSAGE,11:06,1675267580849
user03,2023-02-01,08:00,0,3,second_jitai,ACHIEVED_MESSAGE,14:01,1675278080849
user03,2023-02-01,08:00,0,3,eod_message,,21:00,1675303220849
