user_id,date,wake_time,week,day,message_type,message_note,start_prompt,start_prompt_epoch
user01,2023-01-27,08:00,5,5,goal_settings,STANDARD_GOAL,09:57,1674831439682
user01,2023-01-27,08:00,5,5,first_jitai,TO_ACHIEVE_MESSAGE,11:27,1674836839682
user01,2023-01-27,08:00,5,5,second_jitai,ACHIEVED_MESSAGE,14:58,1674849499682
user01,2023-01-27,08:00,5,5,eod_message,,21:00,1674871219682
user02,2023-01-27,09:00,1,4,goal_settings,NO_GOAL,10:03,1674831796677
user02,2023-01-27,09:00,1,4,first_jitai,NO_MESSAGE,11:10,1674835816677
user02,2023-01-27,09:00,1,4,second_jitai,NO_MESSAGE,15:05,1674849916677
user02,2023-01-27,09:00,1,4,eod_message,,20:00,1674867616677
user03,2023-01-27,05:00,3,5,goal_settings,TAILORED_GOAL,06:30,1674819010381
user03,2023-01-27,05:00,3,5,first_jitai,NO_MESSAGE,07:40,1674823210381
user03,2023-01-27,05:00,3,5,second_jitai,NO_MESSAGE,12:32,1674840730381
user03,2023-01-27,05:00,3,5,eod_message,,16:00,1674853210381
